TestData_WithEMG.csv
Sensor_1_IM_EMG1,Sensor_2_IM_EMG2,Sensor_3_IM_EMG3,Sensor_4_IM_EMG4,Sensor_5_IM_EMG5,Sensor_6_IM_EMG6,Sensor_7_IM_EMG7,Sensor_8_IM_EMG8,Sensor_9_IM_EMG9,Sensor_10_IM_EMG10,Sensor_11_IM_EMG11,Sensor_12_IM_EMG12,Sensor_13_IM_EMG13,Sensor_14_IM_EMG14,Sensor_15_IM_EMG15,Sensor_16_IM_EMG16,
0.00000619,0.00000788,-0.00002058,-0.00001133,0.00000000,0.00000000,-0.00001338,-0.00000965,-0.00002240,-0.00002016,-0.00001471,-0.00013545,-0.00000452,-0.00001195,-0.00003976,-0.00006529,
0.00000603,0.00000744,-0.00002054,-0.00001037,0.00000000,0.00000000,-0.00001308,-0.00001121,-0.00002362,-0.00001776,-0.00001460,-0.00009821,-0.00000272,0.00001007,-0.00001268,-0.00006748,
0.00000439,0.00000678,-0.00002102,-0.00000933,0.00000000,0.00000000,-0.00001165,-0.00001213,-0.00002506,-0.00001543,-0.00001346,0.00000785,0.00000051,0.00001854,0.00001950,-0.00005848,
0.00000252,0.00000703,-0.00002175,-0.00000852,0.00000000,0.00000000,-0.00001044,-0.00001190,-0.00002581,-0.00001298,-0.00001184,0.00010416,0.00000256,0.00000484,0.00004399,-0.00004417,
0.00000177,0.00000837,-0.00002165,-0.00000717,0.00000000,0.00000000,-0.00001106,-0.00001137,-0.00002580,-0.00001004,-0.00001099,0.00013350,0.00000250,-0.00001277,0.00006423,-0.00004118,
0.00000190,0.00000978,-0.00002031,-0.00000603,0.00000000,0.00000000,-0.00001288,-0.00001104,-0.00002594,-0.00000676,-0.00001119,0.00013015,0.00000205,-0.00001223,0.00008336,-0.00005098,
0.00000204,0.00000976,-0.00001868,-0.00000617,0.00000000,0.00000000,-0.00001430,-0.00001020,-0.00002628,-0.00000485,-0.00001195,0.00013879,0.00000170,-0.00000347,0.00008837,-0.00005542,
0.00000243,0.00000752,-0.00001774,-0.00000631,0.00000000,0.00000000,-0.00001519,-0.00000921,-0.00002631,-0.00000498,-0.00001304,0.00013441,-0.00000010,-0.00000416,0.00007554,-0.00004134,
0.00000339,0.00000417,-0.00001716,-0.00000540,0.00000000,0.00000000,-0.00001619,-0.00000915,-0.00002654,-0.00000610,-0.00001389,0.00007118,-0.00000322,-0.00001402,0.00005318,-0.00001402,
0.00000454,0.00000221,-0.00001676,-0.00000432,0.00000000,0.00000000,-0.00001698,-0.00001029,-0.00002761,-0.00000773,-0.00001406,-0.00002407,-0.00000609,-0.00002019,0.00002903,0.00001130,
0.00000542,0.00000294,-0.00001779,-0.00000437,0.00000000,0.00000000,-0.00001655,-0.00001205,-0.00002892,-0.00001036,-0.00001410,-0.00005748,-0.00000830,-0.00001187,0.00000879,0.00002560,
0.00000567,0.00000470,-0.00002027,-0.00000590,0.00000000,0.00000000,-0.00001524,-0.00001345,-0.00002937,-0.00001249,-0.00001440,-0.00001490,-0.00000945,0.00000129,-0.00000442,0.00003118,
0.00000518,0.00000494,-0.00002215,-0.00000790,0.00000000,0.00000000,-0.00001464,-0.00001342,-0.00002891,-0.00001146,-0.00001465,0.00002229,-0.00000914,-0.00000472,-0.00000820,0.00003146,
0.00000419,0.00000360,-0.00002236,-0.00000903,0.00000000,0.00000000,-0.00001503,-0.00001153,-0.00002883,-0.00000788,-0.00001479,0.00002130,-0.00000844,-0.00003210,-0.00000082,0.00002265,
0.00000323,0.00000238,-0.00002212,-0.00000925,0.00000000,0.00000000,-0.00001588,-0.00000882,-0.00002985,-0.00000500,-0.00001503,0.00000128,-0.00000831,-0.00004546,0.00001149,0.00000429,
0.00000265,0.00000240,-0.00002261,-0.00000961,0.00000000,0.00000000,-0.00001679,-0.00000711,-0.00003072,-0.00000458,-0.00001508,-0.00002795,-0.00000794,-0.00001642,0.00001668,-0.00001303,
0.00000250,0.00000390,-0.00002238,-0.00001033,0.00000000,0.00000000,-0.00001674,-0.00000726,-0.00003016,-0.00000548,-0.00001451,-0.00005474,-0.00000616,0.00002133,0.00001091,-0.00001886,
0.00000281,0.00000577,-0.00002004,-0.00001048,0.00000000,0.00000000,-0.00001508,-0.00000895,-0.00002876,-0.00000587,-0.00001342,-0.00007347,-0.00000334,0.00001969,0.00000000,-0.00001218,
0.00000351,0.00000619,-0.00001747,-0.00000948,0.00000000,0.00000000,-0.00001318,-0.00001152,-0.00002816,-0.00000638,-0.00001242,-0.00008609,-0.00000083,-0.00001202,-0.00000959,-0.00000169,
0.00000378,0.00000520,-0.00001717,-0.00000827,0.00000000,0.00000000,-0.00001318,-0.00001400,-0.00002849,-0.00000974,-0.00001158,-0.00006582,0.00000096,-0.00003746,-0.00001522,0.00000077,
0.00000301,0.00000441,-0.00001903,-0.00000801,0.00000000,0.00000000,-0.00001540,-0.00001526,-0.00002874,-0.00001726,-0.00001055,0.00001444,0.00000248,-0.00004271,-0.00001880,-0.00001186,
0.00000227,0.00000446,-0.00002079,-0.00000806,0.00000000,0.00000000,-0.00001753,-0.00001477,-0.00002905,-0.00002621,-0.00000958,0.00011997,0.00000355,-0.00004113,-0.00002341,-0.00003741,
0.00000284,0.00000509,-0.00002114,-0.00000772,0.00000000,0.00000000,-0.00001728,-0.00001281,-0.00002934,-0.00003053,-0.00000919,0.00017624,0.00000406,-0.00005025,-0.00002648,-0.00006070,
0.00000410,0.00000598,-0.00002102,-0.00000783,0.00000000,0.00000000,-0.00001493,-0.00001049,-0.00002874,-0.00002614,-0.00000973,0.00014436,0.00000408,-0.00006811,-0.00002171,-0.00006597,
0.00000424,0.00000636,-0.00002111,-0.00000892,0.00000000,0.00000000,-0.00001246,-0.00000963,-0.00002788,-0.00001605,-0.00001143,0.00006330,0.00000287,-0.00007987,-0.00000971,-0.00005786,
0.00000302,0.00000591,-0.00002096,-0.00001032,0.00000000,0.00000000,-0.00001161,-0.00001118,-0.00002800,-0.00000487,-0.00001356,-0.00000055,0.00000049,-0.00008052,-0.00000017,-0.00005209,
0.00000233,0.00000536,-0.00002022,-0.00001121,0.00000000,0.00000000,-0.00001247,-0.00001388,-0.00002886,0.00000644,-0.00001477,-0.00002727,-0.00000135,-0.00007907,-0.00000056,-0.00005330,
0.00000271,0.00000524,-0.00001945,-0.00001105,0.00000000,0.00000000,-0.00001384,-0.00001536,-0.00003007,0.00001554,-0.00001514,-0.00001574,-0.00000184,-0.00007757,-0.00000715,-0.00005305,
0.00000336,0.00000533,-0.00001939,-0.00000968,0.00000000,0.00000000,-0.00001497,-0.00001429,-0.00003162,0.00001763,-0.00001534,0.00003996,-0.00000154,-0.00006812,-0.00001239,-0.00003760,
0.00000444,0.00000501,-0.00001998,-0.00000815,0.00000000,0.00000000,-0.00001545,-0.00001190,-0.00003201,0.00000832,-0.00001442,0.00008505,-0.00000096,-0.00005332,-0.00001267,-0.00000488,
0.00000575,0.00000429,-0.00002088,-0.00000776,0.00000000,0.00000000,-0.00001479,-0.00001009,-0.00003048,-0.00000749,-0.00001250,0.00005277,-0.00000020,-0.00004197,-0.00000995,0.00002676,
0.00000671,0.00000395,-0.00002194,-0.00000789,0.00000000,0.00000000,-0.00001352,-0.00000921,-0.00002908,-0.00001527,-0.00001174,-0.00002032,0.00000069,-0.00002980,-0.00001167,0.00004203,
0.00000792,0.00000436,-0.00002290,-0.00000759,0.00000000,0.00000000,-0.00001232,-0.00000908,-0.00002814,-0.00001259,-0.00001228,-0.00006576,0.00000115,-0.00000839,-0.00001908,0.00004535,
0.00000973,0.00000496,-0.00002319,-0.00000742,0.00000000,0.00000000,-0.00001152,-0.00000930,-0.00002663,-0.00000887,-0.00001310,-0.00007061,0.00000076,0.00001090,-0.00002672,0.00004685,
0.00001146,0.00000515,-0.00002278,-0.00000788,0.00000000,0.00000000,-0.00001174,-0.00000854,-0.00002587,-0.00000626,-0.00001450,-0.00004153,0.00000009,0.00000975,-0.00003393,0.00005099,
0.00001261,0.00000492,-0.00002376,-0.00000830,0.00000000,0.00000000,-0.00001239,-0.00000595,-0.00002636,-0.00000206,-0.00001544,0.00000120,-0.00000023,-0.00000198,-0.00003990,0.00005542,
0.00001300,0.00000499,-0.00002769,-0.00000752,0.00000000,0.00000000,-0.00001232,-0.00000256,-0.00002648,0.00000381,-0.00001450,0.00001968,-0.00000012,-0.00000178,-0.00004323,0.00005333,
0.00001214,0.00000625,-0.00003243,-0.00000523,0.00000000,0.00000000,-0.00001217,-0.00000034,-0.00002571,0.00001031,-0.00001298,0.00000294,0.00000018,0.00001076,-0.00004873,0.00004073,
0.00001011,0.00000807,-0.00003441,-0.00000342,0.00000000,0.00000000,-0.00001333,-0.00000028,-0.00002503,0.00001597,-0.00001235,-0.00001487,0.00000048,0.00002639,-0.00005851,0.00002216,
0.00000720,0.00000868,-0.00003221,-0.00000430,0.00000000,0.00000000,-0.00001561,-0.00000171,-0.00002535,0.00001976,-0.00001233,-0.00000329,0.00000070,0.00004434,-0.00006674,0.00000621,
0.00000266,0.00000756,-0.00002708,-0.00000663,0.00000000,0.00000000,-0.00001739,-0.00000347,-0.00002627,0.00002280,-0.00001221,0.00002006,0.00000082,0.00006545,-0.00006783,-0.00000420,
