TestData_WithEMG_EMG.csv
time,Sensor_1_IM_EMG1,Sensor_2_IM_EMG2,Sensor_3_IM_EMG3,Sensor_4_IM_EMG4,Sensor_5_IM_EMG5,Sensor_6_IM_EMG6,Sensor_7_IM_EMG7,Sensor_8_IM_EMG8,Sensor_9_IM_EMG9,Sensor_10_IM_EMG10,Sensor_11_IM_EMG11,Sensor_12_IM_EMG12,Sensor_13_IM_EMG13,Sensor_14_IM_EMG14,Sensor_15_IM_EMG15,Sensor_16_IM_EMG16,
0.00050000,0.00000619,0.00000788,-0.00002058,-0.00001133,0.00000000,0.00000000,-0.00001338,-0.00000965,-0.00002240,-0.00002016,-0.00001471,-0.00013545,-0.00000452,-0.00001195,-0.00003976,-0.00006529,
0.00100000,0.00000603,0.00000744,-0.00002054,-0.00001037,0.00000000,0.00000000,-0.00001308,-0.00001121,-0.00002362,-0.00001776,-0.00001460,-0.00009821,-0.00000272,0.00001007,-0.00001268,-0.00006748,
0.00150000,0.00000439,0.00000678,-0.00002102,-0.00000933,0.00000000,0.00000000,-0.00001165,-0.00001213,-0.00002506,-0.00001543,-0.00001346,0.00000785,0.00000051,0.00001854,0.00001950,-0.00005848,
0.00200000,0.00000252,0.00000703,-0.00002175,-0.00000852,0.00000000,0.00000000,-0.00001044,-0.00001190,-0.00002581,-0.00001298,-0.00001184,0.00010416,0.00000256,0.00000484,0.00004399,-0.00004417,
0.00250000,0.00000177,0.00000837,-0.00002165,-0.00000717,0.00000000,0.00000000,-0.00001106,-0.00001137,-0.00002580,-0.00001004,-0.00001099,0.00013350,0.00000250,-0.00001277,0.00006423,-0.00004118,
0.00300000,0.00000190,0.00000978,-0.00002031,-0.00000603,0.00000000,0.00000000,-0.00001288,-0.00001104,-0.00002594,-0.00000676,-0.00001119,0.00013015,0.00000205,-0.00001223,0.00008336,-0.00005098,
0.00350000,0.00000204,0.00000976,-0.00001868,-0.00000617,0.00000000,0.00000000,-0.00001430,-0.00001020,-0.00002628,-0.00000485,-0.00001195,0.00013879,0.00000170,-0.00000347,0.00008837,-0.00005542,
0.00400000,0.00000243,0.00000752,-0.00001774,-0.00000631,0.00000000,0.00000000,-0.00001519,-0.00000921,-0.00002631,-0.00000498,-0.00001304,0.00013441,-0.00000010,-0.00000416,0.00007554,-0.00004134,
0.00450000,0.00000339,0.00000417,-0.00001716,-0.00000540,0.00000000,0.00000000,-0.00001619,-0.00000915,-0.00002654,-0.00000610,-0.00001389,0.00007118,-0.00000322,-0.00001402,0.00005318,-0.00001402,
0.00500000,0.00000454,0.00000221,-0.00001676,-0.00000432,0.00000000,0.00000000,-0.00001698,-0.00001029,-0.00002761,-0.00000773,-0.00001406,-0.00002407,-0.00000609,-0.00002019,0.00002903,0.00001130,
0.00550000,0.00000542,0.00000294,-0.00001779,-0.00000437,0.00000000,0.00000000,-0.00001655,-0.00001205,-0.00002892,-0.00001036,-0.00001410,-0.00005748,-0.00000830,-0.00001187,0.00000879,0.00002560,
0.00600000,0.00000567,0.00000470,-0.00002027,-0.00000590,0.00000000,0.00000000,-0.00001524,-0.00001345,-0.00002937,-0.00001249,-0.00001440,-0.00001490,-0.00000945,0.00000129,-0.00000442,0.00003118,
0.00650000,0.00000518,0.00000494,-0.00002215,-0.00000790,0.00000000,0.00000000,-0.00001464,-0.00001342,-0.00002891,-0.00001146,-0.00001465,0.00002229,-0.00000914,-0.00000472,-0.00000820,0.00003146,
0.00700000,0.00000419,0.00000360,-0.00002236,-0.00000903,0.00000000,0.00000000,-0.00001503,-0.00001153,-0.00002883,-0.00000788,-0.00001479,0.00002130,-0.00000844,-0.00003210,-0.00000082,0.00002265,
0.00750000,0.00000323,0.00000238,-0.00002212,-0.00000925,0.00000000,0.00000000,-0.00001588,-0.00000882,-0.00002985,-0.00000500,-0.00001503,0.00000128,-0.00000831,-0.00004546,0.00001149,0.00000429,
0.00800000,0.00000265,0.00000240,-0.00002261,-0.00000961,0.00000000,0.00000000,-0.00001679,-0.00000711,-0.00003072,-0.00000458,-0.00001508,-0.00002795,-0.00000794,-0.00001642,0.00001668,-0.00001303,
0.00850000,0.00000250,0.00000390,-0.00002238,-0.00001033,0.00000000,0.00000000,-0.00001674,-0.00000726,-0.00003016,-0.00000548,-0.00001451,-0.00005474,-0.00000616,0.00002133,0.00001091,-0.00001886,
0.00900000,0.00000281,0.00000577,-0.00002004,-0.00001048,0.00000000,0.00000000,-0.00001508,-0.00000895,-0.00002876,-0.00000587,-0.00001342,-0.00007347,-0.00000334,0.00001969,0.00000000,-0.00001218,
